,JS_ID,PI#
0,JS39,PI_533911
1,JS254,PI_656108
7,JS165,PI_597968
8,JS147,PI_595739
11,JS259,PI_656116
12,JS41,PI_533915
15,JS224,PI_656056
16,JS12,PI_533769
18,JS126,PI_576376
19,JS197,PI_656010
20,JS235,PI_656076
21,JS66,PI_533980
22,JS214,PI_656039
23,JS3,PI_533750
24,JS238,PI_656079
25,JS294,PI_656112
29,JS124,PI_576373
32,JS83,PI_534097
34,JS101,PI_534155
36,JS33,PI_533877
38,JS152,PI_597945
39,JS190,PI_656002
40,JS174,PI_629059
43,JS274,PI_533871
45,JS23,PI_533830
48,JS122,PI_576359
50,JS201,PI_656018
51,JS47,PI_533938
52,JS93,PI_534117
54,JS49,PI_533940
57,JS210,PI_656033
58,JS81,PI_534070
60,JS180,PI_655975
61,JS221,PI_656051
62,JS222,PI_656053
63,JS117,PI_576345
66,JS277,PI_533998
69,JS248,PI_656097
70,JS120,PI_576349
71,JS247,PI_656096
72,JS226,PI_656059
73,JS88,PI_534108
74,JS31,PI_533866
76,JS116,PI_576340
77,JS27,PI_533845
78,JS267,PI_659695
81,JS59,PI_533964
83,JS171,PI_607931
84,JS161,PI_597964
85,JS181,PI_655976
86,JS22,PI_533824
87,JS7,PI_533757
88,JS249,PI_656100
91,JS125,PI_576375
92,JS148,PI_595740
93,JS253,PI_656106
96,JS225,PI_656058
104,JS166,PI_597971
105,JS207,PI_656027
106,JS139,PI_576425
107,JS184,PI_655979
108,JS46,PI_533937
109,JS200,PI_656016
110,JS10,PI_533761
113,JS257,PI_656114
114,JS153,PI_597946
120,JS154,PI_597949
125,JS286,PI_595720
126,JS77,PI_534047
127,JS55,PI_533956
130,JS63,PI_533972
131,JS271,PI_533792
134,JS74,PI_534028
135,JS194,PI_656007
136,JS128,PI_576381
137,JS65,PI_533979
138,JS20,PI_533814
139,JS99,PI_534145
140,JS240,PI_656085
141,JS176,PI_642791
145,JS79,PI_534054
148,JS76,PI_534046
151,JS219,PI_656046
152,JS104,PI_542406
155,JS29,PI_533856
156,JS16,PI_533799
158,JS113,PI_576333
159,JS205,PI_656024
160,JS261,PI_656118
163,JS203,PI_656020
164,JS140,PI_576428
165,JS179,PI_655974
168,JS143,PI_595699
169,JS42,PI_533919
172,JS112,PI_574455
173,JS106,PI_552861
174,JS239,PI_656082
175,JS103,PI_534163
177,JS264,PI_656121
178,JS182,PI_655977
179,JS69,PI_533987
181,JS189,PI_656000
182,JS229,PI_656062
183,JS19,PI_533810
184,JS67,PI_533985
185,JS209,PI_656031
186,JS146,PI_595718
187,JS92,PI_534116
188,JS230,PI_656068
189,JS220,PI_656048
190,JS80,PI_534063
191,JS158,PI_597957
192,JS256,PI_656110
193,JS233,PI_656071
198,JS15,PI_533794
199,JS5,PI_533754
200,JS293,PI_656086
201,JS32,PI_533869
202,JS118,PI_576347
203,JS232,PI_656070
204,JS231,PI_656069
205,JS107,PI_561072
206,JS234,PI_656075
211,JS30,PI_533863
212,JS251,PI_656104
215,JS1,PI_329435
216,JS98,PI_534138
217,JS95,PI_534124
218,JS284,PI_576352
222,JS162,PI_597965
223,JS61,PI_533967
224,JS155,PI_597950
227,JS185,PI_655992
