,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-11_12-09-35_9968800,0.889011,TRUE,0.0467625,-0.357143,39.5436,-115.136,-0.331703,29.0532,44.3662,-0.306262,30.9545,-115.481,-0.274951,20.8621,47.3908,-0.239726,16.6549,-130.514,-0.15362,22.2532,56.7211,-0.134051,20.2075,-166.906,-0.132094,15.9028,47.7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-13_12-09-31_10081800,0.89212,TRUE,0.0465161,-0.3591,35.08,-172.426,-0.335616,32.0407,-19.1527,-0.312133,27.3578,-178.091,-0.286693,16.9774,-179.74,-0.222113,34.5328,-20.4054,-0.188845,27.7639,-16.7163,-0.0792564,16.9101,100.147,-0.0753425,29.6462,12.0981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-16_12-09-33_10268800,0.899503,FALSE,0.0600627,-0.3591,41.1511,-153.781,-0.343444,28.5686,-17.1568,-0.312133,32.523,-160.337,-0.274951,19.5851,-159.85,-0.19863,23.098,-13.9661,-0.19863,39.6215,-7.28608,-0.124266,24.4507,156.84,-0.0401174,12.3286,52.8264,-0.0381605,20.7567,134.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-11_12-10-49_9968900,0.858257,TRUE,0.0707214,-0.423679,28.5035,111.123,-0.38454,23.1049,-9.0845,-0.306262,15.9403,161.007,-0.259295,16.4423,15.6044,-0.253425,15.9485,64.8899,-0.167319,21.6848,-154.994,-0.167319,11.8462,1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-13_12-10-46_10081900,0.86211,TRUE,0.0571884,-0.445205,24.6212,163.777,-0.388454,17.4652,-43.7271,-0.308219,20.7648,152.063,-0.267123,11.6643,-29.5411,-0.237769,10.6508,4.11668,-0.190802,16.7801,160.757,-0.122309,33.1089,-173.224,0.0107632,15.7077,8.21065,0.0107632,15.9519,-2.18369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-16_12-10-48_10268900,0.881119,TRUE,0.058741,-0.45499,19.633,176.808,-0.390411,27.8787,-44.6053,-0.304305,10.2615,117.554,-0.24364,25.8077,-41.4058,-0.17319,20.3557,5.93148,-0.0968689,24.8102,19.0588,-0.0636008,6.63268,-88.1602,-0.00097847,25.2417,-145.562,-0.00097847,19.7809,-117.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,0.877082,TRUE,0.0978865,-0.419765,34.6364,74.7417,-0.376712,18.2587,155.504,-0.245597,29.7595,32.5837,-0.214286,33.657,-2.35279,-0.169276,15.7107,-134.468,-0.169276,6.17482,-72.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,0.885166,TRUE,0.0997467,-0.437378,26.029,-12.9818,-0.382583,15.1122,114.034,-0.294521,23.904,2.9825,-0.186888,25.616,-7.7586,-0.159491,23.0539,-0.164397,0.00489235,14.3363,-133.544,0.00684929,16.4497,-117.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,0.887901,TRUE,0.109554,-0.449119,22.1658,164.69,-0.394325,22.3969,146.435,-0.290607,13.1873,72.6076,-0.19863,7.50742,122.988,-0.190802,24.0926,-175.867,0.05773,31.7652,-14.866,0.0596869,22.1921,29.8709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-11_12-14-09_9969100,0.829365,TRUE,0.0318568,-0.415851,58.3464,-2.89344,-0.386497,43.2588,-176.021,-0.341487,43.737,-0.0382556,-0.300391,35.8254,-179.793,-0.229941,24.4583,1.91741,-0.190802,18.1366,-148.241,-0.188845,15.4357,-82.6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-13_12-14-04_10082100,0.83969,TRUE,0.0403435,-0.419765,55.92,-17.4749,-0.390411,44.5062,170.645,-0.351272,46.0712,-12.764,-0.306262,37.2298,163.514,-0.265166,29.1089,-12.0607,-0.14775,28.8332,-179.957,-0.14775,24.1012,-87.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-16_12-14-07_10269100,0.843481,TRUE,0.0941371,-0.394325,48.1394,147.216,-0.355186,47.5058,-34.1876,-0.312133,41.9551,137.42,-0.282779,35.7698,-31.5887,-0.220157,27.5204,141.446,-0.112524,32.0077,-170.842,-0.108611,13.2012,-81.8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-11_12-16-48_9969200,0.8621,TRUE,0.0819118,-0.394325,37.7073,-14.3328,-0.374755,38.9157,-107.265,-0.33953,27.3637,10.4358,-0.300391,24.3182,-133.803,-0.272994,17.8912,22.4232,-0.196673,22.5357,32.5898,-0.182975,22.3276,-160.798,-0.182975,12.7869,-177.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-13_12-16-42_10082200,0.856639,TRUE,0.0425608,-0.392368,37.9184,-21.8212,-0.380626,40.4217,-109.679,-0.33953,25.5535,-9.52488,-0.302348,26.2611,-141.656,-0.280822,20.1044,-2.10287,-0.214286,18.1744,-168.23,-0.177104,6.48855,30.9059,-0.177104,6.34415,46.4291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-16_12-16-50_10269200,0.877514,FALSE,0.142884,-0.433464,60.3899,10.3404,-0.431507,28.9639,-43.6071,-0.425636,19.1336,-37.9984,-0.38454,39.9292,-109.126,-0.376712,54.6104,-27.5503,-0.374755,39.7768,32.2707,-0.33953,30.4972,-17.0132,-0.310176,25.3698,-151.44,-0.278865,24.8899,-12.5041,-0.263209,18.7011,177.625,-0.259295,24.4771,27.5265,-0.257339,17.0208,-34.0169,-0.159491,25.2299,8.70312,-0.0949119,22.9064,60.5056,-0.092955,21.6829,-1.01791,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-11_12-19-03_9969300,0.821551,TRUE,0.143446,-0.45499,81.4911,22.7019,-0.337573,43.695,116.973,-0.310176,38.3875,-46.8356,-0.276908,32.5543,121.897,-0.231898,33.7396,-41.5715,-0.179061,31.7505,113.07,-0.0851272,30.1013,-1.76959,-0.0851272,26.8426,99.8599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-13_12-18-57_10082300,0.706935,TRUE,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
