plantID,leafNumber,area,compassDirectionNikee,compassDirectionJensina,verticalLeafAngle,height
187,1,29.273,84,47,19.7,10
187,2,59.416,244,193,18.4,10.5
187,3,81.416,74,35,17,14.5
187,4,118.64,251,202,14,17
187,5,159.94,42,27,14.7,21
187,6,201.424,251,205,16.7,24
187,7,284.4,,15,15,
188,1,17.05,359,64,21.2,10
188,2,50.38,191,239,15.8,12.5
188,3,85.208,353,63,16.7,15.5
188,4,123.43,190,235,17.5,18.5
188,5,178.24,358,73,14.6,21
189,1,23.833,298,326,19.8,10.5
189,2,34.626,243,274,15.4,14.5
189,3,68.077,353,54,18,17
189,4,99.547,223,260,19,20.5
189,5,153.124,358,60,16,23.5
189,6,176.419,201,243,,
190,1,39.97,179,64,18.1,11
190,2,63.8,71,278,16.7,14.5
190,3,90.08,232,86,16.4,18
190,4,141.66,78,261,16.7,22
190,5,180.79,240,80,18.2,25
190,6,233.61,82,257,,
191,1,41.11,95,131,18,10.5
191,2,55.575,274,296,17.5,12.5
191,3,83.04,90,118,16,15
191,4,113.03,270,290,15,16
191,5,159.485,60,119,15.9,19
191,6,187.205,276,294,18.6,21
191,7,223.705,61,91,19.2,23.5
191,8,260.235,,293,,
192,1,32.477,214,229,22.1,10.5
192,2,50.85,98,90,17.1,12.5
192,3,71.502,246,263,16,14
192,4,100.668,95,89,16.8,15.5
192,5,122.207,275,265,15.7,18.5
192,6,166.289,91,76,15.3,20.5
192,7,211.225,,277,15.7,
193,1,69.328,271,96,61.1,12.5
193,2,90.237,33,251,45.4,16
193,3,127.419,250,82,45,18.5
193,4,142.048,52,272,43.2,21
193,5,192.265,256,82,40,23.5
193,6,,88,273,,
194,1,46.388,347,258,52,11
194,2,70.22,197,108,37.8,14
194,3,94.68,26,297,57.3,17
194,4,127.232,208,112,40.5,20
194,5,161.585,31,288,39.6,22.5
194,6,196.45,,128,,
195,1,42.33,4,255,40.5,11.5
195,2,47.57,195,115,47.1,13.5
195,3,63.83,7,273,47.1,15.5
195,4,80.68,186,105,42.8,17
195,5,93.45,13,288,29.2,17.5
196,1,35.89,353,243,81.7,11
196,2,44.45,178,59,64.3,13
196,3,44.89,338,236,65.4,14
196,4,58.82,200,84,48.7,15.5
196,5,66.59,321,246,51.4,
196,6,69.93,193,82,,
