plant_name,JS_ID,plant_num,PI_num,img_date,Verified,reason,,,,,,KEY: 
,JS41,287,PI_533915,4/11/18,x,true outlier 2 --> 3,,,,,,
,JS41,287,PI_533915,4/13/18,x,true outlier 2 --> 3,,,,,,
,JS41,287,PI_533915,4/16/18,x,true outlier 2 --> 3,,,,,,
,JS254,289,PI_656108,4/11/18,x,possible true outlier 1->2->3 ,,,,,,
,JS254,289,PI_656108,4/13/18,x,possible true outlier 1->2->3 ,,,,,,
,JS254,289,PI_656108,4/16/18,x,possible true outlier 1->2->3 ,,,,,,
,JS23,308,PI_533830,4/11/18,x,true outlier 4 -->5,,,,,,
,JS23,308,PI_533830,4/13/18,x,true outlier 4 -->5,,,,,,
,JS23,308,PI_533830,4/16/18,x,true outlier 4 -->5,,,,,,
,JS47,311,PI_533938,4/11/18,x,true outlier 3 --> 4,,,,,,
,JS47,311,PI_533938,4/13/18,x,true outlier 3 --> 4,,,,,,
,JS47,311,PI_533938,4/16/18,x,true outlier 3 --> 4,,,,,,
,JS93,312,PI_534117,4/11/18,x,leaf 1 & 2 stacked --> true outlier,,,,,,
,JS93,312,PI_534117,4/13/18,x,leaf 1 & 2 stacked --> true outlier,,,,,,
,JS93,312,PI_534117,4/16/18,x,leaf 1 & 2 stacked --> true outlier,,,,,,
,JS277,320,PI_533998,4/11/18,x,true outlier 3 --> 4,,,,,,
,JS277,320,PI_533998,4/13/18,x,true outlier 3 --> 4,,,,,,
,JS277,320,PI_533998,4/16/18,x,true outlier 3 --> 4,,,,,,
,JS148,344,PI_595740,4/11/18,x,leaves 3&4 stacked --> true outlier,,,,,,
,JS148,344,PI_595740,4/13/18,x,leaves 3&4 stacked --> true outlier,,,,,,
,JS148,344,PI_595740,4/16/18,x,leaves 3&4 stacked --> true outlier,,,,,,
,JS207,349,PI_656027,4/11/18,x,stacked 2-->3 true outlier,,,,,,
,JS207,349,PI_656027,4/13/18,x,stacked 2-->3 true outlier,,,,,,
,JS207,349,PI_656027,4/16/18,x,stacked 2-->3 true outlier,,,,,,
,JS20,368,PI_533814,4/11/18,x,Potentially true outlier between 4&5,,,,,,
,JS20,368,PI_533814,4/13/18,x,Potentially true outlier between 4&5,,,,,,
,JS20,368,PI_533814,4/16/18,x,Potentially true outlier between 4&5,,,,,,
,JS203,388,PI_656020,4/11/18,x,true outlier 1 --> 2 (stacked),,,,,,
,JS203,388,PI_656020,4/13/18,x,true outlier 1 --> 2 (stacked),,,,,,
,JS203,388,PI_656020,4/16/18,x,true outlier 1 --> 2 (stacked),,,,,,
,JS179,399,PI_655974,4/11/18,x,"true outlier 5 --> 6, very small plant",,,,,,
,JS179,399,PI_655974,4/13/18,x,"true outlier 5 --> 6, very small plant",,,,,,
,JS179,399,PI_655974,4/16/18,x,"true outlier 5 --> 6, very small plant",,,,,,
,JS182,401,PI_655977,4/11/18,x,true outlier 5 -->6,,,,,,
,JS182,401,PI_655977,4/13/18,x,true outlier 5 -->6,,,,,,
,JS182,401,PI_655977,4/16/18,x,true outlier 5 -->6,,,,,,
,JS293,428,PI_656086,4/11/18,x,true outlier 1 --> 2 (but 1st auricle is detached from main stalk) & 3 -->4 (but 4 is torn),,,,,,
,JS293,428,PI_656086,4/13/18,x,true outlier 1 --> 2 (but 1st auricle is detached from main stalk) & 3 -->4 (but 4 is torn),,,,,,
,JS293,428,PI_656086,4/16/18,x,true outlier 1 --> 2 (but 1st auricle is detached from main stalk) & 3 -->4 (but 4 is torn),,,,,,
,JS110,466,PI_564165,4/11/18,x,Potentially true outlier between 1&2,,,,,,
,JS110,466,PI_564165,4/13/18,x,Potentially true outlier between 1&2,,,,,,
,JS110,466,PI_564165,4/16/18,x,Potentially true outlier between 1&2,,,,,,
,JS290,481,PI_656003,4/11/18,x,true outlier 3 --> 4,,,,,,
,JS290,481,PI_656003,4/13/18,x,true outlier 3 --> 4,,,,,,
,JS290,481,PI_656003,4/16/18,x,true outlier 3 --> 4,,,,,,
,JS262,491,PI_656119,4/11/18,x,true outlier,,,,,,
,JS262,491,PI_656119,4/13/18,x,true outlier,,,,,,
,JS262,491,PI_656119,4/16/18,x,true outlier,,,,,,
,JS241,509,PI_656087,4/11/18,x,true outlier 4 -->5,,,,,,
,JS241,509,PI_656087,4/13/18,x,true outlier 4 -->5,,,,,,
,JS241,509,PI_656087,4/16/18,x,true outlier 4 -->5,,,,,,
,JS100,510,PI_534148,4/11/18,x,true outlier,,,,,,
,JS100,510,PI_534148,4/13/18,x,true outlier,,,,,,
,JS100,510,PI_534148,4/16/18,x,true outlier,,,,,,
,JS271,512,PI_533792,4/11/18,x,true outlier 2-->3,,,,,,
,JS271,512,PI_533792,4/13/18,x,true outlier 2-->3,,,,,,
,JS271,512,PI_533792,4/16/18,x,true outlier 2-->3,,,,,,
,JS76,521,PI_534046,4/11/18,x,"true outlier  2 -->3, first auricle detached from stalk",,,,,,
,JS76,521,PI_534046,4/13/18,x,"true outlier  2 -->3, first auricle detached from stalk",,,,,,
,JS76,521,PI_534046,4/16/18,x,"true outlier  2 -->3, first auricle detached from stalk",,,,,,
,JS56,580,PI_533957,4/11/18,x,true outlier 2 --> 3,,,,,,
,JS56,580,PI_533957,4/13/18,x,true outlier 2 --> 3,,,,,,
,JS56,580,PI_533957,4/16/18,x,true outlier 2 --> 3,,,,,,
,JS127,582,PI_576380,4/11/18,x ,true outlier 3 --> 4,,,,,,
,JS127,582,PI_576380,4/13/18,x ,true outlier 3 --> 4,,,,,,
,JS127,582,PI_576380,4/16/18,x ,true outlier 3 --> 4,,,,,,
,JS123,598,PI_576366,4/11/18,x,true outlier,,,,,,
,JS123,598,PI_576366,4/13/18,x,true outlier,,,,,,
,JS123,598,PI_576366,4/16/18,x,true outlier,,,,,,
