plant_name,JS_ID,plant_num,PI_num,img_date,Verified,reason
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,JS254,283,PI_656108,2018-04-16,x,Plant is too dense and reconstruction is bad
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,JS254,283,PI_656108,2018-04-13,x,Plant is too dense and reconstruction is bad
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,JS254,283,PI_656108,2018-04-11,x,Plant is too dense and reconstruction is bad
,JS190,305,PI_656002,2018-04-11,x,first leaf drooping over bottom edge of pot; auricle detached from stem
,JS190,305,PI_656002,2018-04-13,x,first leaf drooping over bottom edge of pot; auricle detached from stem
,JS190,305,PI_656002,2018-04-16,x,first leaf drooping over bottom edge of pot; auricle detached from stem
,JS22,339,PI_533824,2018-04-11,x,tiller
,JS22,339,PI_533824,2018-04-13,x,tiller
,JS22,339,PI_533824,2018-04-16,x,tiller
,JS7,340,PI_533757,2018-04-11,x,tiller
,JS7,340,PI_533757,2018-04-13,x,tiller
,JS7,340,PI_533757,2018-04-16,x,tiller
,JS125,343,PI_576375,2018-04-11,x,very small leaves 2 & 4
,JS125,343,PI_576375,2018-04-13,x,very small leaves 2 & 4
,JS125,343,PI_576375,2018-04-16,x,very small leaves 2 & 4
,JS139,351,PI_576425,2018-04-13,x,4/13: lodged
,JS139,351,PI_576425,2018-04-16,x,4/13: lodged
,JS240,370,PI_656085,2008-04-11,x,tiller
,JS240,370,PI_656085,2018-04-13,x,tiller
,JS240,370,PI_656085,2018-04-16,x,tiller
,JS219,377,PI_656046,2018-04-11,x,leaves 2&3 are drooping below bottom edge of plant; auricle detached from stem
,JS219,377,PI_656046,2018-04-13,x,leaves 2&3 are drooping below bottom edge of plant; auricle detached from stem
,JS219,377,PI_656046,2018-04-16,x,leaves 2&3 are drooping below bottom edge of plant; auricle detached from stem
,JS31,400,PI_533866,2018-04-11,x,2 leaf blades for leaf 1 (see angles 72 & 288)?
,JS31,400,PI_533866,2018-04-13,x,2 leaf blades for leaf 1 (see angles 72 & 288)?
,JS31,400,PI_533866,2018-04-16,x,2 leaf blades for leaf 1 (see angles 72 & 288)?
4-9-18_Schnable_49-410-js209-328_2018-04-11_04-55-04_9981700,JS209,410,PI_656031,2018-04-11,x,Leaf order is wrong leaves #3 and #4
4-9-18_Schnable_49-410-js209-328_2018-04-13_04-55-37_10094700,JS209,410,PI_656031,2018-04-13,x,Missing leaves
4-9-18_Schnable_49-410-js209-328_2018-04-16_04-55-37_10281700,JS209,410,PI_656031,2018-04-16,x,Two plants in the same pot; JD: tillers
,JS174,423,PI_629059,2018-04-16,x,very small tiller 4/16
,JS107,437,PI_561072,2018-04-13,x,4/13: 1st auricle detaching from main stalk
,JS107,437,PI_561072,2018-04-16,x,4/13: 1st auricle detaching from main stalk
,JS30,439,PI_533863,2018-04-11,x,"very small plant, possibly true outlier"
,JS30,439,PI_533863,2018-04-13,x,"very small plant, possibly true outlier"
,JS30,439,PI_533863,2018-04-16,x,"very small plant, possibly true outlier"
,JS234,440,PI_656075,2018-04-11,x,very small leaf 4
,JS234,440,PI_656075,2018-04-13,x,very small leaf 4
,JS234,440,PI_656075,2018-04-16,x,very small leaf 4
,JS101,454,PI_534155,2018-04-11,x,lots of very small unhealthy leaves
