PI_num,cam3pam_
PI533911,13.6095888888889
PI656108,28.3355444444444
PI597968,9.60017333333334
PI595739,61.5493833333333
PI656116,51.86005
PI533915,22.0911558333333
PI656056,45.3088222222222
PI656108,39.8934666666667
PI533769,29.1682366666667
PI576376,52.7479383333333
PI656010,37.92305
PI656076,16.6094111111111
PI533980,10.7006266666667
PI656039,25.6798016666667
PI533750,22.1567977777778
PI656079,20.0208422222222
PI656112,39.48427
PI576373,13.1249022222222
PI534097,32.3092511111111
PI533877,9.28038444444444
PI597945,28.9350022222222
PI629059,14.7283388888889
PI533871,22.4092588888889
PI533830,33.2792166666667
PI576359,20.2112277777778
PI656018,33.8873811111111
PI533938,35.8542666666667
PI534117,25.805075
PI533940,17.8748683333333
PI656033,54.49545
PI534070,27.1623377777778
PI655975,12.1684255555556
PI656051,47.3606527777778
PI656053,42.2036
PI576345,32.4631222222222
PI533998,41.2428416666667
PI656097,9.11838285555556
PI576349,34.5131888888889
PI656096,16.7174444444444
PI576345,31.3703688888889
PI656059,21.6054616666667
PI534108,13.2138327777778
PI533866,14.0457305555556
PI576340,23.3477166666667
PI533845,20.6938333333333
PI659695,19.47085
PI533964,80.1587522222222
PI607931,22.9944433333333
PI597964,36.7197528888889
PI533915,34.3575577777778
PI576359,10.7663244444444
PI655976,42.1206418888889
PI576345,41.4844277777778
PI656100,10.085505
PI595740,18.6387055555556
PI656106,19.6855276666667
PI656058,46.8376033333333
PI656108,45.873295
PI597971,17.1540777777778
PI656027,28.4442
PI576425,27.412995
PI655979,15.7233145
PI533937,41.5797833333333
PI656016,36.83483
PI533761,40.7304111111111
PI656114,22.3417333333333
PI597946,25.8875
PI597949,34.4881777777778
PI595720,44.5245772222222
PI533956,25.7974837777778
PI533972,19.7415811111111
PI533792,19.9262111111111
PI534028,47.4238633333333
PI656007,28.1852611111111
PI576381,15.3101433333333
PI533814,74.45635
PI534145,18.8149777777778
PI656085,8.6374
PI597949,36.6650588888889
PI642791,12.8939444444444
PI534054,25.4525722222222
PI534054,41.6426722222222
PI534046,12.7669755555556
PI533761,20.876135
PI542406,48.99184
PI533856,46.7194
PI533799,22.7798277777778
PI533799,26.9840522222222
PI576333,22.7395755555555
PI534070,25.4747177777778
PI656024,43.6685533333333
PI642791,17.2850333333333
PI656118,28.0926333333333
PI656020,5.00737081333331
PI576428,45.6288
PI655974,30.2058833333333
PI533919,30.831
PI597949,12.84099
PI574455,34.6730722222222
PI552861,19.2050411111111
PI656082,14.5127088888889
PI656121,20.2161944444445
PI655974,16.7535216666667
PI655977,8.82045333333333
PI533915,16.8828055555556
PI533987,12.2173944444444
PI656000,55.9010655555556
PI656062,24.8886333333333
PI656058,26.8873066666667
PI533810,21.6859516666667
PI533985,24.10096
PI656058,12.6596988888889
PI656058,28.4930733333333
PI595718,36.4364555555556
PI656112,51.5252
PI534116,9.24358333333333
PI656068,52.4653216666667
PI656058,19.3681622222222
PI533877,40.0743422222222
PI656048,46.1149344444444
PI533940,69.9520083333333
PI534063,35.8420074444444
