plant_name,JS_ID,plant_num,PI_num,img_date,voxel_len,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14
,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-11_12-09-35_9968800,JS39,281,PI_533911,2018-04-11,4cm,34.154,22.7289,29.7469,18.6432,20.8807,34.9358,22.9812,18.2965,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-13_12-09-31_10081800,JS39,281,PI_533911,2018-04-13,4cm,30.5171,27.1273,28.515,20.4549,36.3354,42.3312,57.8794,69.6792,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-16_12-09-33_10268800,JS39,281,PI_533911,2018-04-16,4cm,34.4896,19.1659,32.5798,36.5339,5.99917,37.2485,32.9659,35.8656,20.8976,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-11_12-10-49_9968900,JS254,282,PI_656108,2018-04-11,4cm,18.411,12.6668,14.0984,24.63,15.3236,19.3412,16.1017,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-13_12-10-46_10081900,JS254,282,PI_656108,2018-04-13,4cm,13.534,9.51492,23.9869,23.5571,26.3166,28.5607,27.6642,15.532,7.70867,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-16_12-10-48_10268900,JS254,282,PI_656108,2018-04-16,4cm,12.9303,19.1984,16.6506,42.1198,40.2572,24.1491,14.495,5.60266,29.6086,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,JS254,283,PI_656108,2018-04-11,4cm,18.1256,11.926,38.3969,27.2587,26.5361,31.4904,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,JS254,283,PI_656108,2018-04-13,4cm,14.7563,13.2737,18.1902,33.2884,16.8623,16.1458,17.4148,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,JS254,283,PI_656108,2018-04-16,4cm,23.5045,12.3939,13.1772,25.6979,27.4009,15.3079,4.07049,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-11_12-14-09_9969100,JS165,284,PI_597968,2018-04-11,4cm,37.5745,31.6386,35.6493,26.2299,31.1765,16.4982,19.5864,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-13_12-14-04_10082100,JS165,284,PI_597968,2018-04-13,4cm,33.6832,33.0363,35.501,27.6703,29.1627,44.0508,29.2404,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-16_12-14-07_10269100,JS165,284,PI_597968,2018-04-16,4cm,35.8821,35.6167,32.6182,26.3852,25.1038,29.4147,38.6524,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-11_12-16-48_9969200,JS147,285,PI_595739,2018-04-11,4cm,29.0497,23.9761,23.1858,25.6847,30.4256,39.0877,21.116,13.6222,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-13_12-16-42_10082200,JS147,285,PI_595739,2018-04-13,4cm,31.021,30.746,25.6071,28.5613,34.9458,19.2035,21.9855,7.93516,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-16_12-16-50_10269200,JS147,285,PI_595739,2018-04-16,4cm,51.2828,30.2857,18.6944,27.5991,53.4249,40.6979,30.776,30.9327,42.1067,29.1215,38.4558,40.6119,47.4522,35.2225,20.8073
4-9-18_Schnable_49-286-js259-417_2018-04-11_12-19-03_9969300,JS259,286,PI_656116,2018-04-11,4cm,71.9635,30.3665,26.0687,28.0656,47.9801,34.3769,44.8831,36.2451,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-13_12-18-57_10082300,JS259,286,PI_656116,2018-04-13,4cm,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-16_12-18-59_10269300,JS259,286,PI_656116,2018-04-16,4cm,45.2737,21.1022,26.8112,38.5959,25.8823,51.7661,59.3409,58.077,45.3349,36.9931,36.989,38.1072,19.6559,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-11_12-21-17_9969400,JS41,287,PI_533915,2018-04-11,4cm,37.1677,71.7539,51.9073,38.0287,30.1867,28.592,4.26067,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-13_12-21-10_10082400,JS41,287,PI_533915,2018-04-13,4cm,26.1806,56.9129,22.9748,40.5912,26.9023,37.452,25.2743,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-16_12-21-12_10269400,JS41,287,PI_533915,2018-04-16,4cm,8.02666,46.9639,73.9426,53.2117,41.0108,35.5013,29.0908,33.196,19.7974,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-11_12-23-30_9969500,JS224,288,PI_656056,2018-04-11,4cm,25.988,25.2097,23.7997,42.2461,20.033,39.2832,45.5728,19.6059,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-13_12-23-23_10082500,JS224,288,PI_656056,2018-04-13,4cm,25.5832,22.7955,20.7236,35.5407,19.6468,43.9011,51.5415,42.2048,34.6774,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-16_12-23-25_10269500,JS224,288,PI_656056,2018-04-16,4cm,64.3312,17.5426,31.9955,54.9798,36.9806,67.1907,51.4136,70.9277,25.1832,56.0038,94.7266,,,,
