PI_num,med_,am_,cmed3_,cam3_,med2_,med3_,am2_,am3_,cam3pmed_,cam4pmed_,cam4pam_,blueglm
PI533911,9.99089999999998,13.849725,13.6501,16.9258428571429,10.9483,2.0027,12.6193666666667,2.0027,12.3004333333333,11.1864,11.8752208333333,13.849725
PI656108,25.9127,28.3355444444444,25.9127,28.3355444444444,7.53780000000003,25.9127,7.98816666666667,33.8835,26.9705666666667,26.9705666666667,28.3355444444444,28.3355444444435
PI597968,11.01477,9.34472333333333,11.13044,9.60017333333334,10.8991,4.6731,9.43322000000001,7.05768666666667,9.28546666666668,8.746825,9.34472333333333,9.34472333333321
PI595739,42.71433,46.89544,54.3144,57.262676,63.287865,38.377365,63.287865,38.377365,61.5493833333333,51.406375,51.406375,46.8954400000009
PI656116,46.79555,49.39225,37.19025,48.1926,28.625,37.19025,28.625,37.19025,51.86005,51.842925,51.842925,49.39225
PI533915,8.60526,17.69001625,12.65887,21.4666,NA,25.213935,NA,25.213935,14.8827925,10.4392383333333,18.5260072222222,17.69001625
PI656056,38.09165,40.39113,36.8654,44.1896714285714,36.8654,43.9891,37.4747666666667,43.9891,45.1057,43.65875,41.8635833333333,40.39113
PI656108,25.49699,30.2797985714286,28.566,36.18056,58.458,39.4216,58.458,39.4216,39.8934666666667,33.80207375,33.80207375,30.2797985714291
PI533769,30.4649,34.8065027272727,24.9198,29.1682366666667,11.4531,53.6861,12.2347233333333,54.3986566666667,30.0196666666667,37.559425,36.9208525,34.8065027272727
PI576376,54.226305,46.73802,56.792205,53.759005,56.792205,21.0038,56.792205,21.0038,52.7479383333333,47.73496625,47.73496625,46.7380199999992
PI656010,35.3525,33.017425,40.3568,37.92305,50.6027,34.01345,50.6027,34.01345,37.92305,33.017425,33.017425,33.017425
PI656076,22.34225,21.9994,19.3076,16.6094111111111,19.3076,28.1298,14.7865333333333,24.7476666666667,17.8651,22.93415,21.9994,21.9993999999999
PI533980,14.12,13.30689,11.64,10.7006266666667,8.24894999999999,16.66568,8.24894999999999,16.66568,10.7006266666667,13.30689,13.30689,13.3068899999999
PI656039,22.173525,24.5919575,23.088015,25.6798016666667,23.088015,13.835775,23.088015,13.835775,25.6798016666667,24.5919575,24.5919575,24.5919575000001
PI533750,14.611445,17.917165,16.6788,22.1567977777778,16.77979,16.02579,17.76073,14.3933966666667,23.66796,19.289545,17.917165,17.9171650000002
PI656079,26.72218,23.0929333333333,22.29784,20.0208422222222,13.4276,30.8236,13.2855133333333,29.7363133333333,20.0913,23.2306,23.0929333333333,23.0929333333334
PI656112,29.7119,28.9428381818182,43.0142,37.462315,48.9364,16.1046,44.8720666666667,17.9208333333333,40.2336366666667,31.3983275,31.1692608333333,28.9428381818181
PI576373,14.7965,15.5345111111111,13.82321,14.6984866666667,19.0392,14.9444,16.9359066666667,14.9444,13.826,14.068625,14.1453166666667,15.5345111111111
PI534097,20.236595,27.1651758333333,28.05099,32.3092511111111,39.0795,0.52249999999998,39.4346966666667,1.46119999999999,31.1503266666667,26.18427,27.1651758333333,27.1651758333333
PI533877,7.84844000000001,7.79341166666667,10.1043,9.28038444444444,12.3096,5.74259999999998,12.66946,8.62412666666666,8.53476666666666,6.70725,7.79341166666667,7.79341166666656
PI597945,21.096743,27.9492818181818,21.096743,28.9350022222222,10.6146,14.5803,19.5702823333333,22.3859466666667,24.8438333333333,24.51126,27.5796366666667,27.949281818182
PI629059,17.2061,15.942662,16.20245,14.96145,17.8131,12.86345,15.913,12.86345,15.3580833333333,16.48544,16.0131316666667,15.9426620000001
PI533871,14.2662,18.8756854545455,25.085645,22.84215125,18.94612,30.06543,18.94612,25.7782433333333,23.74555,20.1669375,18.881555,18.8756854545455
PI533830,22.17895,25.6766683333333,27.86115,31.9247,27.86115,18.895,27.86115,18.895,33.2792166666667,28.25456375,28.25456375,25.6766683333334
PI576359,31.4455,24.8706272727273,17.1468,22.18905,14.5417,4.38865,12.4218666666667,4.38865,21.1814833333333,23.9341125,23.1637958333333,24.8706272727272
PI656018,31.3773,38.3175966666667,31.3773,38.3175966666667,24.1278,47.6771,24.1278,50.7090933333333,32.8767166666667,32.8767166666667,33.8873811111111,38.3175966666663
PI533938,32.2993,26.1903428571428,32.2993,26.1903428571428,1.72029999999998,69.678,3.54179999999999,69.678,34.9823666666666,34.9823666666666,35.8542666666667,26.1903428571428
PI534117,17.84024,21.45118,21.4246,20.8195666666667,40.7616,10.84855,40.7616,10.84855,25.805075,21.9553433333333,24.5643144444444,21.4511800000001
PI533940,16.7009,20.9397218181818,17.97255,18.26578625,24.87918,14.747525,26.4120933333333,14.747525,15.3392683333333,13.68995125,20.4237054166667,20.9397218181818
PI656033,63.1924,59.50698,54.49545,54.49545,34.1293,NA,34.1293,NA,54.49545,57.3944333333333,57.2796333333333,59.5069800000011
PI534070,28.2376,31.1075945454545,28.2376,27.1623377777778,19.1743,19.2439,23.8836233333333,21.2688566666666,24.2381666666667,30.3939375,32.5870658333333,31.1075945454546
PI655975,12.94094,16.8110011111111,11.71052,11.1811016666667,11.8611,9.36102000000001,10.6101566666667,9.36102000000001,12.5854066666667,16.797705,16.1440191666667,16.811001111111
PI656051,24.21725,36.949132,38.87885,42.5517225,85.832095,51.9886,85.832095,48.6457,48.154965,39.75091625,39.1551820833333,36.9491320000002
